"","loc","lng","lat"
"153","Nepal",80.0584698,26.3475202
"154","Netherlands (Europe)",3.3316,50.7503837
"155","Netherlands",3.3316,50.7503837
"156","New Caledonia",163.3557129,-23.2514406
"157","New Zealand",165.5563234,-52.8194172
"158","Nicaragua",-87.7588,10.7080549
"159","Niger",0.1617177,11.693756
"160","Nigeria",2.676932,4.1821001
"161","Niue",-169.9500846,-19.1555668
"162","North America",-170,5
"163","North Korea",124.1491605,37.5892001
"164","Northern Mariana Islands",144.7668457,13.9713848
"165","Norway",4.0649,57.8097
"166","Oceania",NA,NA
"167","Oman",51.9999998,16.4571999
"168","Pakistan",60.8729721,23.6344999
"169","Palau",131.0115,2.6394
"170","Palestina",34.2101001,31.2198113
"171","Palmyra Atoll",-162.1085465,5.8708528
"172","Panama",-83.0525813,7.0409
"173","Papua New Guinea",140.8419695,-12.0823
"174","Paraguay",-62.6423155,-27.6069339
"175","Peru",-81.3867001,-18.4483
"176","Philippines",114.583481,3.6346296
"177","Poland",14.1228641,49.002046
"178","Portugal",-31.4647999,29.8288392
"179","Puerto Rico",-68.1195557,17.8449191
"180","Qatar",50.7211001,24.471111
"181","Reunion",55.209732,-21.4035321
"182","Romania",20.2618168,43.6194344
"183","Russia",27,40
"184","Rwanda",28.861754,-2.8399383
"185","Saint Barthélemy",-62.9559999,17.8663
"186","Saint Kitts And Nevis",-62.8695,17.07861
"187","Saint Lucia",-61.0820091,13.7047779
"188","Saint Martin",NA,NA
"189","Saint Pierre And Miquelon",-56.5233,46.7003
"190","Saint Vincent And The Grenadines",-61.4822,12.5294999
"191","Samoa",-172.8108215,-14.0833012
"192","San Marino",12.4034824,43.8936809
"193","Sao Tome And Principe",6.328125,-0.0988769
"194","Saudi Arabia",34.4815001,16.29
"195","Senegal",-17.6879999,12.2649001
"196","Serbia",18.8146111,42.2315029
"197","Seychelles",45.9832764,-10.4716073
"198","Sierra Leone",-13.4032999,6.8446
"199","Singapore",103.594,1.1496
"200","Sint Maarten",-63.1397999,17.9941
"201","Slovakia",16.8331821,47.731159
"202","Slovenia",13.3753355,45.4214758
"203","Solomon Islands",155.1187134,-12.6832149
"204","Somalia",40.994373,-1.8673
"205","South Africa",16.2816999,-47.1313489
"206","South America",-111.0136956,-58.3693668
"207","South Georgia And The South Sandwich Isla",-38.0360415,-54.9184606
"208","South Korea",124.5863,33.0041
"209","Spain",-20.3438182,26.5538366
"210","Sri Lanka",79.2677,5.6816
"211","Sudan",21.8146345,9.3472209
"212","Suriname",-58.0707547,1.837306
"213","Svalbard And Jan Mayen",-10.5468752,70.4662074
"214","Swaziland",30.79064,-27.317402
"215","Sweden",10.5798,55.0059799
"216","Switzerland",5.9558978,45.81792
"217","Syria",35.6287,32.311136
"218","Taiwan",116.6665,20.5170001
"219","Tajikistan",67.3371964,36.6719898
"220","Tanzania",29.34,-11.7612534
"221","Thailand",97.343396,5.6128508
"222","Timor Leste",124.0332,-9.5303001
"223","Togo",-0.1440418,6.0812
